,SSIM,PSNR,LPISP
bike-packing,0.9771115779876709,29.98504066467285,0.020650718361139297
blackswan,0.9816294312477112,30.050466537475586,0.016458790749311447
bmx-trees,0.9816381931304932,29.085437774658203,0.012187584303319454
breakdance,0.9421133995056152,22.8450984954834,0.04270056262612343
camel,0.9739675521850586,29.465394973754883,0.019943546503782272
car-roundabout,0.9778749346733093,30.1708984375,0.010371735319495201
car-shadow,0.8929092288017273,22.283794403076172,0.07395921647548676
cows,0.9940747618675232,38.894683837890625,0.0022260304540395737
dance-twirl,0.9970200061798096,47.359798431396484,0.0005750516429543495
dog,0.9996687769889832,73.0366439819336,7.366962381638587e-05
dogs-jump,0.9926185011863708,31.365428924560547,0.008384350687265396
drift-chicane,0.9998618960380554,77.34596252441406,2.5457118681515567e-05
drift-straight,0.8509278297424316,20.203411102294922,0.09397507458925247
goat,0.9999734163284302,79.25647735595703,6.9070056269993074e-06
gold-fish,0.9235380291938782,21.234750747680664,0.12797275185585022
horsejump-high,0.9932253956794739,38.07524490356445,0.002432986395433545
india,0.9887973070144653,34.684295654296875,0.005077277310192585
judo,0.9915156364440918,35.636253356933594,0.0020830996800214052
kite-surf,0.9990472793579102,66.35118103027344,0.00022430908575188369
lab-coat,0.8192338347434998,14.3514986038208,0.09090381115674973
libby,1.0,80.0,0.0
loading,0.8821949362754822,18.559078216552734,0.07023519277572632
mbike-trick,0.9987080097198486,64.27161407470703,0.0005094619118608534
motocross-jump,0.9908827543258667,55.582557678222656,0.007630205247551203
paragliding-launch,0.9988886117935181,65.5052719116211,0.0002422085963189602
parkour,0.998047411441803,54.21342849731445,0.0024826277513056993
pigs,1.0,80.0,0.0
scooter-black,0.8823418617248535,21.65901756286621,0.06384702026844025
shooting,0.998331606388092,59.959686279296875,0.00241048913449049
soapbox,0.9820799827575684,35.657127380371094,0.008694921620190144
