,SSIM,PSNR,LPISP
bike-packing,0.9771705865859985,30.527021408081055,0.021926209330558777
blackswan,0.9908398985862732,33.57615661621094,0.007247002329677343
bmx-trees,0.984880268573761,29.905033111572266,0.009533601813018322
breakdance,0.9414523243904114,22.568313598632812,0.048846688121557236
camel,0.9926272034645081,38.89173126220703,0.001851321430876851
car-roundabout,0.9815271496772766,31.605207443237305,0.009724763222038746
car-shadow,0.9161204099655151,24.79792022705078,0.048098091036081314
cows,0.9976744651794434,52.968536376953125,0.0006941112224012613
dance-twirl,0.9985881447792053,56.20948791503906,0.00018716437625698745
dog,1.0,80.0,0.0
dogs-jump,0.9917232990264893,33.86338806152344,0.005277438089251518
drift-chicane,0.9998818039894104,77.40496826171875,2.2284946680883877e-05
drift-straight,0.8618014454841614,21.043310165405273,0.08715543150901794
goat,0.9998137354850769,75.77538299560547,4.9378581024939194e-05
gold-fish,0.9236331582069397,21.235212326049805,0.12802807986736298
horsejump-high,0.994203507900238,38.77008819580078,0.003557696007192135
india,0.9913752675056458,40.29370880126953,0.004584804177284241
judo,0.9944548010826111,37.85246658325195,0.004170572850853205
kite-surf,0.9996854662895203,75.4722900390625,0.00011380609794287011
lab-coat,0.8326325416564941,14.699910163879395,0.0751739963889122
libby,1.0,80.0,0.0
loading,0.8913437128067017,18.7908992767334,0.07464288920164108
mbike-trick,0.9987466335296631,65.12358093261719,0.0005304426304064691
motocross-jump,0.9932177662849426,67.29312896728516,0.005930078215897083
paragliding-launch,0.9990462064743042,68.30712127685547,0.00023382477229461074
parkour,0.9985210299491882,57.407527923583984,0.0027969814836978912
pigs,1.0,80.0,0.0
scooter-black,0.8889517784118652,22.064537048339844,0.06794524937868118
shooting,0.9998868107795715,75.32716369628906,8.753306610742584e-05
soapbox,0.9851517677307129,38.731788635253906,0.0053922454826533794
