,SSIM,PSNR,LPISP
bike-packing,0.9694175720214844,28.754852294921875,0.021867401897907257
blackswan,0.9679268002510071,25.452077865600586,0.04673600569367409
bmx-trees,0.9733500480651855,27.664295196533203,0.02239394746720791
breakdance,0.9363293647766113,22.373579025268555,0.041925977915525436
camel,0.9576261043548584,26.468717575073242,0.04742857441306114
car-roundabout,0.9628976583480835,27.02438735961914,0.024706173688173294
car-shadow,0.8221948146820068,17.189958572387695,0.15197409689426422
cows,0.9793323278427124,28.49057960510254,0.024712488055229187
dance-twirl,0.9599805474281311,22.40148162841797,0.06236562132835388
dog,0.9939916729927063,39.85024642944336,0.009020614437758923
dogs-jump,0.9677730202674866,22.021556854248047,0.05169498175382614
drift-chicane,0.9819719195365906,28.017305374145508,0.028505874797701836
drift-straight,0.8144679069519043,18.45958709716797,0.1334380954504013
goat,0.9950704574584961,50.86388397216797,0.00294719310477376
gold-fish,0.9234597086906433,21.23334503173828,0.1277531236410141
horsejump-high,0.9714065790176392,29.150741577148438,0.0287791658192873
india,0.9887711405754089,36.650306701660156,0.005113082472234964
judo,0.9911931157112122,35.815887451171875,0.00282003590837121
kite-surf,0.9655982851982117,26.20823860168457,0.04822700470685959
lab-coat,0.8027892708778381,13.756562232971191,0.11209874600172043
libby,1.0,80.0,0.0
loading,0.8754086494445801,18.08216094970703,0.06848747283220291
mbike-trick,0.9946995377540588,41.03617477416992,0.006442510988563299
motocross-jump,0.9700167775154114,34.842464447021484,0.04842643439769745
paragliding-launch,0.9974579811096191,52.224422454833984,0.0005778654012829065
parkour,0.9922916889190674,42.525272369384766,0.011042955331504345
pigs,0.9999997019767761,79.5758056640625,5.038274366597761e-07
scooter-black,0.8523126244544983,20.40559959411621,0.07774136960506439
shooting,0.999308168888092,70.93524169921875,0.0012247858103364706
soapbox,0.9773437976837158,31.9602108001709,0.022081373259425163
