,SSIM,PSNR,LPISP
bike-packing,0.9785129427909851,30.597440719604492,0.02149856463074684
blackswan,0.9907795786857605,34.491241455078125,0.005189686547964811
bmx-trees,0.9850063920021057,30.05085563659668,0.009059542790055275
breakdance,0.9432595372200012,23.166587829589844,0.045861683785915375
camel,0.9912410378456116,37.427085876464844,0.002485172590240836
car-roundabout,0.9813882112503052,31.411479949951172,0.009441879577934742
car-shadow,0.9034797549247742,23.230459213256836,0.06648913770914078
cows,0.9967488646507263,46.5687370300293,0.0010955269681289792
dance-twirl,0.9977049827575684,48.5171012878418,0.002145711798220873
dog,0.9999489188194275,78.87841796875,9.41224516282091e-06
dogs-jump,0.9843915700912476,27.277103424072266,0.02484048902988434
drift-chicane,1.0,80.0,0.0
drift-straight,0.8566794991493225,20.586057662963867,0.08875519782304764
goat,0.9999904036521912,79.62823486328125,2.9686361813219264e-06
gold-fish,0.9236194491386414,21.235198974609375,0.12802629172801971
horsejump-high,0.9961217641830444,42.6659049987793,0.0012633916921913624
india,0.9914630651473999,40.275787353515625,0.004478438291698694
judo,0.9941942691802979,38.21453857421875,0.004537160508334637
kite-surf,0.9983367323875427,59.63530731201172,0.004912123084068298
lab-coat,0.8340572118759155,14.46151065826416,0.07741185277700424
libby,1.0,80.0,0.0
loading,0.890545666217804,18.736530303955078,0.06994068622589111
mbike-trick,0.9981625080108643,58.32403564453125,0.002438048366457224
motocross-jump,0.9832495450973511,37.061180114746094,0.03303975984454155
paragliding-launch,0.999209463596344,70.0966796875,0.0002265118237119168
parkour,0.9951395392417908,41.94956588745117,0.00821425300091505
pigs,1.0,80.0,0.0
scooter-black,0.8894770741462708,21.946598052978516,0.06616944074630737
shooting,0.9993928670883179,71.9530258178711,0.0017339249607175589
soapbox,0.9837123155593872,38.37361145019531,0.007060649339109659
