,SSIM,PSNR,LPISP
bike-packing,0.9771877527236938,30.439668655395508,0.02461785264313221
blackswan,0.9960182905197144,43.640838623046875,0.0009693512693047523
bmx-trees,0.9846182465553284,30.02281379699707,0.012281086295843124
breakdance,0.9396728873252869,22.263385772705078,0.06504568457603455
camel,0.9944282174110413,40.105857849121094,0.001509825699031353
car-roundabout,0.9828039407730103,32.33687210083008,0.009626292623579502
car-shadow,0.9583964943885803,30.471250534057617,0.015334641560912132
cows,0.9991271495819092,66.35970306396484,0.00019201675604563206
dance-twirl,0.9977293610572815,51.324867248535156,0.0008222023607231677
dog,1.0,80.0,0.0
dogs-jump,0.9936427474021912,35.4141960144043,0.006566469557583332
drift-chicane,1.0,80.0,0.0
drift-straight,0.8815237283706665,22.815406799316406,0.06793050467967987
goat,0.9978905916213989,53.32086181640625,0.0008158200653269887
gold-fish,0.9236194491386414,21.23520851135254,0.1280231475830078
horsejump-high,0.9963727593421936,45.51094055175781,0.0012426411267369986
india,0.9914964437484741,40.23567581176758,0.004537695087492466
judo,0.9942352771759033,38.17782974243164,0.005770561750978231
kite-surf,0.9997639656066895,74.3165054321289,6.956850120332092e-05
lab-coat,0.8352960348129272,14.963654518127441,0.1298372447490692
libby,1.0,80.0,0.0
loading,0.8951444625854492,19.214956283569336,0.11825829744338989
mbike-trick,0.9985829591751099,64.52249145507812,0.0005638151196762919
motocross-jump,0.9971143007278442,67.19349670410156,0.00417433213442564
paragliding-launch,0.9992215037345886,70.17286682128906,0.0002287356328452006
parkour,0.9985213875770569,57.333255767822266,0.0027834780048578978
pigs,1.0,80.0,0.0
scooter-black,0.8945292234420776,22.456066131591797,0.0788213387131691
shooting,0.9998899698257446,76.29783630371094,7.75892985984683e-05
soapbox,0.9880070686340332,39.45406723022461,0.005348652135580778
