,SSIM,PSNR,LPISP
bike-packing,0.9776082634925842,30.557201385498047,0.021014414727687836
blackswan,0.9953874349594116,41.83217239379883,0.0009152181446552277
bmx-trees,0.9849250912666321,29.516685485839844,0.009626170620322227
breakdance,0.941008985042572,22.659839630126953,0.0649375170469284
camel,0.9933180212974548,39.26686096191406,0.0015767916338518262
car-roundabout,0.9819738268852234,32.14447021484375,0.009198134765028954
car-shadow,0.9436891078948975,28.45711898803711,0.01872180588543415
cows,0.9985830187797546,60.48423767089844,0.0003416551335249096
dance-twirl,0.9985296726226807,55.750328063964844,0.00019604766566772014
dog,1.0,80.0,0.0
dogs-jump,0.993691086769104,35.435733795166016,0.0062147025018930435
drift-chicane,1.0,80.0,0.0
drift-straight,0.8737179636955261,22.372989654541016,0.061419013887643814
goat,0.9999904036521912,79.62823486328125,2.9686361813219264e-06
gold-fish,0.9236648082733154,21.23619270324707,0.12796346843242645
horsejump-high,0.9971928596496582,50.04758071899414,0.0005267363740131259
india,0.9914870262145996,40.79114532470703,0.00447417376562953
judo,0.9941554069519043,38.15701675415039,0.003739925567060709
kite-surf,0.9994783997535706,70.16773223876953,9.231566946255043e-05
lab-coat,0.8306085467338562,14.820509910583496,0.09494700282812119
libby,1.0,80.0,0.0
loading,0.8931981325149536,19.10142707824707,0.10492382198572159
mbike-trick,0.9986076354980469,64.96041107177734,0.0004948925925418735
motocross-jump,0.9969052076339722,68.31342315673828,0.004092247225344181
paragliding-launch,0.9988719820976257,66.00381469726562,0.00023559702094644308
parkour,0.9985515475273132,57.993282318115234,0.0016242008423432708
pigs,1.0,80.0,0.0
scooter-black,0.8912335634231567,22.3286190032959,0.07624632865190506
shooting,0.9996088743209839,71.56206512451172,0.0007815705612301826
soapbox,0.986534595489502,39.392539978027344,0.004545188508927822
