,SSIM,PSNR,LPISP
bike-packing,0.9739668369293213,30.041839599609375,0.028352221474051476
blackswan,0.9945078492164612,40.366756439208984,0.0014825144317001104
bmx-trees,0.9837917685508728,29.838647842407227,0.011944718658924103
breakdance,0.9393483996391296,22.244470596313477,0.06462377309799194
camel,0.9886161684989929,35.89716339111328,0.0032945857383310795
car-roundabout,0.9785858392715454,30.43900489807129,0.012086298316717148
car-shadow,0.9566928148269653,29.73686408996582,0.017841415479779243
cows,0.9987033605575562,61.85264205932617,0.000304976012557745
dance-twirl,0.9921916127204895,37.6294059753418,0.0035436726175248623
dog,0.9987930655479431,67.3911361694336,0.0009340912802144885
dogs-jump,0.9920772910118103,30.959396362304688,0.011198715306818485
drift-chicane,0.998979926109314,63.466670989990234,0.0002583828172646463
drift-straight,0.8799641728401184,22.629369735717773,0.08615648746490479
goat,0.9998601675033569,77.302734375,3.385580566828139e-05
gold-fish,0.9235802888870239,21.234895706176758,0.12802435457706451
horsejump-high,0.986578643321991,33.130897521972656,0.014253071509301662
india,0.9909198880195618,38.543296813964844,0.004907592199742794
judo,0.99161297082901,36.49184799194336,0.006750538479536772
kite-surf,0.999540388584137,73.89227294921875,0.00020639761351048946
lab-coat,0.8194141983985901,14.622282981872559,0.12476775050163269
libby,0.9999685883522034,79.3106918334961,5.490080638992367e-06
loading,0.8922353386878967,19.070924758911133,0.11628548800945282
mbike-trick,0.9961527585983276,45.38154220581055,0.003959281370043755
motocross-jump,0.9954639077186584,55.24341583251953,0.0058373622596263885
paragliding-launch,0.9990933537483215,67.56795501708984,0.00023792842694092542
parkour,0.9928174018859863,46.51382827758789,0.015504906885325909
pigs,1.0,80.0,0.0
scooter-black,0.8935822248458862,22.35035514831543,0.08246214687824249
shooting,0.9982249736785889,54.618038177490234,0.0015829461626708508
soapbox,0.9838101267814636,36.11078643798828,0.008520469069480896
