,SSIM,PSNR,LPISP
bike-packing,0.9753636717796326,29.737398147583008,0.016746070235967636
blackswan,0.9758322834968567,27.554214477539062,0.025785615667700768
bmx-trees,0.9802371859550476,29.18061065673828,0.012879922054708004
breakdance,0.9430205821990967,23.113603591918945,0.04270186647772789
camel,0.9635346531867981,27.214929580688477,0.03046352230012417
car-roundabout,0.9778673052787781,30.182947158813477,0.014070278964936733
car-shadow,0.8399350047111511,18.282590866088867,0.13072915375232697
cows,0.990395188331604,35.780967712402344,0.005019783973693848
dance-twirl,0.9940610527992249,43.026981353759766,0.0017925822176039219
dog,0.9986551403999329,62.02119064331055,0.00031510114786215127
dogs-jump,0.9808711409568787,25.382736206054688,0.02689608931541443
drift-chicane,0.9967362880706787,45.82864761352539,0.0010087639093399048
drift-straight,0.8320339918136597,18.83358383178711,0.11814331263303757
goat,0.9998211860656738,75.91063690185547,3.448080315138213e-05
gold-fish,0.9231809973716736,21.229793548583984,0.12773004174232483
horsejump-high,0.9801632761955261,30.522390365600586,0.017566632479429245
india,0.9860132932662964,33.21993637084961,0.012546105310320854
judo,0.9912837743759155,35.359107971191406,0.0022485973313450813
kite-surf,0.9909893870353699,36.36515808105469,0.007500456180423498
lab-coat,0.8083428740501404,13.68440055847168,0.11131543666124344
libby,1.0,80.0,0.0
loading,0.8792693614959717,18.315006256103516,0.06735950708389282
mbike-trick,0.998785138130188,65.62133026123047,0.000514678715262562
motocross-jump,0.9817980527877808,46.09441375732422,0.025127090513706207
paragliding-launch,0.9987450838088989,63.29042053222656,0.0002935615193564445
parkour,0.9982196688652039,54.4982795715332,0.0025947627145797014
pigs,1.0,80.0,0.0
scooter-black,0.8716211915016174,21.196733474731445,0.06961755454540253
shooting,0.9987899661064148,67.39763641357422,0.0019615357741713524
soapbox,0.9791608452796936,34.30406188964844,0.0187760591506958
