,SSIM,PSNR,LPISP
bike-packing,0.9768905639648438,30.14176368713379,0.024660520255565643
blackswan,0.9960306882858276,43.589481353759766,0.0009025349281728268
bmx-trees,0.9848865270614624,29.54606819152832,0.01087466161698103
breakdance,0.9428949952125549,22.761245727539062,0.06466564536094666
camel,0.9931505918502808,39.29534149169922,0.0015175692969933152
car-roundabout,0.9804500937461853,31.736156463623047,0.009682068601250648
car-shadow,0.9521995782852173,29.398399353027344,0.014477689750492573
cows,0.998092532157898,56.195213317871094,0.0003314377390779555
dance-twirl,0.9980601668357849,50.80431365966797,0.00028298242250457406
dog,1.0,80.0,0.0
dogs-jump,0.9936288595199585,35.38329315185547,0.0063095418736338615
drift-chicane,1.0,80.0,0.0
drift-straight,0.8731595873832703,22.376577377319336,0.06398901343345642
goat,0.9999904036521912,79.62823486328125,2.9686361813219264e-06
gold-fish,0.9233695864677429,21.232742309570312,0.12794463336467743
horsejump-high,0.9968167543411255,48.93518829345703,0.0005513934302143753
india,0.9886323809623718,36.231475830078125,0.0051227230578660965
judo,0.9863475561141968,32.5014762878418,0.007325420621782541
kite-surf,0.9999692440032959,79.32476043701172,4.803174306289293e-06
lab-coat,0.8267472982406616,14.77354907989502,0.10430197417736053
libby,1.0,80.0,0.0
loading,0.8903287053108215,19.025192260742188,0.10930509865283966
mbike-trick,0.998559832572937,63.67411422729492,0.0005833146860823035
motocross-jump,0.9935649037361145,55.75750732421875,0.009495149366557598
paragliding-launch,0.998891294002533,66.42263793945312,0.00023412024893332273
parkour,0.9979612827301025,53.34874725341797,0.002204149728640914
pigs,1.0,80.0,0.0
scooter-black,0.8906395435333252,22.24552345275879,0.07651929557323456
shooting,0.9987179636955261,66.43872833251953,0.001407131552696228
soapbox,0.9863467812538147,39.21005630493164,0.004765396937727928
