,SSIM,PSNR,LPISP
bike-packing,0.9752667546272278,29.632896423339844,0.022357964888215065
blackswan,0.98813396692276,31.67001724243164,0.010343413800001144
bmx-trees,0.9831387400627136,29.684240341186523,0.010622650384902954
breakdance,0.9413509368896484,22.79997444152832,0.04044207185506821
camel,0.9714118838310242,29.293331146240234,0.019971374422311783
car-roundabout,0.9796984791755676,30.646995544433594,0.010442998260259628
car-shadow,0.8877395987510681,22.18242835998535,0.07873328775167465
cows,0.9945438504219055,40.11874771118164,0.0018964828923344612
dance-twirl,0.9918984174728394,32.37278747558594,0.009730163961648941
dog,0.9992761015892029,67.43225860595703,0.00019723358855117112
dogs-jump,0.9895263910293579,31.698076248168945,0.006487823091447353
drift-chicane,0.9858329892158508,22.274534225463867,0.047681987285614014
drift-straight,0.8545951843261719,20.568246841430664,0.08990205824375153
goat,0.9999734163284302,79.25647735595703,5.5594882724108174e-06
gold-fish,0.9234393239021301,21.233728408813477,0.12797461450099945
horsejump-high,0.9910886883735657,37.86443328857422,0.002350391587242484
india,0.989588737487793,35.84031295776367,0.004583926871418953
judo,0.9903098344802856,35.96441650390625,0.00640058284625411
kite-surf,0.9979531168937683,56.044681549072266,0.0006295047351159155
lab-coat,0.8145228028297424,14.28239917755127,0.10039162635803223
libby,1.0,80.0,0.0
loading,0.8826701641082764,18.451229095458984,0.07145267724990845
mbike-trick,0.9982374310493469,56.757118225097656,0.0017688933294266462
motocross-jump,0.9860376119613647,40.67078399658203,0.02256022021174431
paragliding-launch,0.9989834427833557,66.9047622680664,0.00023885967675596476
parkour,0.9980003237724304,52.58074951171875,0.002375560812652111
pigs,1.0,80.0,0.0
scooter-black,0.8810740113258362,21.579984664916992,0.0663263201713562
shooting,0.998187243938446,62.49029541015625,0.003910261206328869
soapbox,0.982560932636261,35.18581008911133,0.009528160095214844
