,SSIM,PSNR,LPISP
bike-packing,0.9769598841667175,30.095808029174805,0.01944882422685623
blackswan,0.9815477132797241,30.336416244506836,0.01621483452618122
bmx-trees,0.9832757115364075,29.740015029907227,0.010658562183380127
breakdance,0.9419382214546204,22.952980041503906,0.04193660244345665
camel,0.9689303636550903,29.32617950439453,0.019840437918901443
car-roundabout,0.9784174561500549,30.394689559936523,0.011357934214174747
car-shadow,0.8646929860115051,20.354156494140625,0.0988403707742691
cows,0.9940414428710938,39.46699142456055,0.0024598194286227226
dance-twirl,0.9962667226791382,45.01958465576172,0.0007202817942015827
dog,0.9997037649154663,73.67827606201172,6.171788845676929e-05
dogs-jump,0.9823597073554993,27.259740829467773,0.02351541817188263
drift-chicane,0.9991337656974792,62.79766845703125,0.0010875347070395947
drift-straight,0.8411304950714111,19.454893112182617,0.11072355508804321
goat,0.9999564290046692,78.88471984863281,9.026312000059988e-06
gold-fish,0.9235217571258545,21.23444175720215,0.12797950208187103
horsejump-high,0.9898647665977478,35.987510681152344,0.005267901811748743
india,0.9895742535591125,38.51906967163086,0.00429124478250742
judo,0.9925798177719116,36.712711334228516,0.0029706452041864395
kite-surf,0.9968844056129456,54.99526596069336,0.0018025184981524944
lab-coat,0.8183978796005249,13.88473129272461,0.09851668030023575
libby,1.0,80.0,0.0
loading,0.880760133266449,18.360795974731445,0.06692828983068466
mbike-trick,0.9987622499465942,65.18768310546875,0.00046932429540902376
motocross-jump,0.9863699078559875,50.793399810791016,0.017832348123192787
paragliding-launch,0.9989293813705444,64.87458801269531,0.00023851267178542912
parkour,0.9984115362167358,56.34850311279297,0.002382095670327544
pigs,1.0,80.0,0.0
scooter-black,0.8780730962753296,21.354724884033203,0.06533899158239365
shooting,0.9986386299133301,62.95709991455078,0.0023200558498501778
soapbox,0.9813705086708069,36.58921432495117,0.012584262527525425
