,SSIM,PSNR,LPISP
bike-packing,0.9747923612594604,29.574264526367188,0.01902330294251442
blackswan,0.9778130054473877,29.177345275878906,0.02683688886463642
bmx-trees,0.9820555448532104,29.553617477416992,0.013210405595600605
breakdance,0.9420198202133179,22.871906280517578,0.04052409902215004
camel,0.9659298062324524,29.028827667236328,0.022874347865581512
car-roundabout,0.9745518565177917,29.263275146484375,0.015216626226902008
car-shadow,0.8553289771080017,19.509037017822266,0.11959782987833023
cows,0.9905156493186951,36.35801696777344,0.004949331749230623
dance-twirl,0.9937564134597778,41.51820373535156,0.0023586361203342676
dog,0.9987093806266785,63.002193450927734,0.00036955776158720255
dogs-jump,0.9871314167976379,27.829748153686523,0.018998393788933754
drift-chicane,0.9980456829071045,52.90375900268555,0.0004542448732536286
drift-straight,0.8294492959976196,19.291311264038086,0.11878737807273865
goat,0.9997777938842773,75.41764831542969,4.3013260437874123e-05
gold-fish,0.9235299825668335,21.23503303527832,0.12792634963989258
horsejump-high,0.9857622981071472,35.066776275634766,0.007503940258175135
india,0.9877344369888306,36.32083511352539,0.004976716823875904
judo,0.9894440174102783,34.67230987548828,0.0030772676691412926
kite-surf,0.9954791069030762,49.27351379394531,0.002718160394579172
lab-coat,0.7955597043037415,13.629853248596191,0.12292954325675964
libby,1.0,80.0,0.0
loading,0.8755220770835876,18.17741584777832,0.06611848622560501
mbike-trick,0.9988522529602051,65.65406799316406,0.0004478483460843563
motocross-jump,0.9842372536659241,49.598487854003906,0.017927374690771103
paragliding-launch,0.9988035559654236,65.34062957763672,0.00026987650198861957
parkour,0.9976709485054016,51.617923736572266,0.002574106678366661
pigs,1.0,80.0,0.0
scooter-black,0.8725799322128296,21.200132369995117,0.06565289199352264
shooting,0.9971753358840942,56.83953094482422,0.0048354025930166245
soapbox,0.9785619974136353,33.173309326171875,0.01734716072678566
