,SSIM,PSNR,LPISP
bike-packing,0.9775593876838684,30.372241973876953,0.018751859664916992
blackswan,0.9919988512992859,36.46866989135742,0.0027713768649846315
bmx-trees,0.9693474173545837,25.15557098388672,0.030149901285767555
breakdance,0.9448851346969604,23.294668197631836,0.04634124040603638
camel,0.952753484249115,23.238075256347656,0.0741325169801712
car-roundabout,0.9810008406639099,31.328052520751953,0.009096103720366955
car-shadow,0.9140052795410156,25.33432960510254,0.04169798642396927
cows,0.995326578617096,43.302242279052734,0.0015742440009489655
dance-twirl,0.9982311725616455,54.220943450927734,0.0002730392152443528
dog,0.9812433123588562,26.04418182373047,0.04064878821372986
dogs-jump,0.9938375353813171,34.00693130493164,0.0037288148887455463
drift-chicane,0.9999704360961914,79.35124206542969,3.4385639082756825e-06
drift-straight,0.8585655093193054,21.281147003173828,0.0625629648566246
goat,0.998163640499115,64.08528900146484,0.000986224040389061
gold-fish,0.9237273335456848,21.23755645751953,0.1277526170015335
horsejump-high,0.994748592376709,43.05818176269531,0.0010068939300253987
india,0.9850835800170898,33.41655731201172,0.010378792881965637
judo,0.9924188256263733,37.24985885620117,0.003326260019093752
kite-surf,0.9910111427307129,37.318084716796875,0.005671973340213299
lab-coat,0.8285771012306213,14.784414291381836,0.07512391358613968
libby,1.0,80.0,0.0
loading,0.8887965679168701,18.9040470123291,0.07388263195753098
mbike-trick,0.9989266991615295,65.43230438232422,0.0004530996084213257
motocross-jump,0.9948251247406006,60.30455780029297,0.007112078368663788
paragliding-launch,0.9984874725341797,64.23271942138672,0.0003307264996692538
parkour,0.9980046153068542,53.39426040649414,0.0019684608560055494
pigs,1.0,80.0,0.0
scooter-black,0.8828961253166199,21.799739837646484,0.06223323196172714
shooting,0.9993873834609985,71.17625427246094,0.0005497627425938845
soapbox,0.9834315776824951,38.542659759521484,0.004544301424175501
