,SSIM,PSNR,LPISP
bike-packing,0.9777953028678894,30.53406524658203,0.022803066298365593
blackswan,0.9893182516098022,32.717960357666016,0.00910387933254242
bmx-trees,0.9842950105667114,29.880067825317383,0.0109019186347723
breakdance,0.9427903890609741,23.014196395874023,0.04469262436032295
camel,0.9879713654518127,36.06330490112305,0.004198605194687843
car-roundabout,0.9799352884292603,30.81618881225586,0.01183471828699112
car-shadow,0.8874708414077759,21.264257431030273,0.07998161017894745
cows,0.9953233003616333,42.35533142089844,0.0016205977881327271
dance-twirl,0.9964368343353271,45.99675750732422,0.0009437380940653384
dog,1.0,80.0,0.0
dogs-jump,0.9915616512298584,32.96072006225586,0.00898558460175991
drift-chicane,0.9998166561126709,76.40216827392578,6.607693649129942e-05
drift-straight,0.8549328446388245,20.444292068481445,0.09935444593429565
goat,0.9997300505638123,74.7894058227539,8.393060124944896e-05
gold-fish,0.9235802888870239,21.234905242919922,0.12801510095596313
horsejump-high,0.9965535402297974,41.109291076660156,0.0014731904957443476
india,0.9907560348510742,40.0302734375,0.004899691324681044
judo,0.9929424524307251,36.361656188964844,0.0039762589149177074
kite-surf,0.9993169903755188,68.41282653808594,0.00016736930410843343
lab-coat,0.8265891671180725,14.1170654296875,0.08436544239521027
libby,1.0,80.0,0.0
loading,0.8879057168960571,18.589088439941406,0.06851459294557571
mbike-trick,0.9986141920089722,63.87473678588867,0.0005970479105599225
motocross-jump,0.9865263104438782,47.32358169555664,0.019355496391654015
paragliding-launch,0.9992215037345886,70.17286682128906,0.0002287356328452006
parkour,0.9985471963882446,57.34071731567383,0.0024409282486885786
pigs,1.0,80.0,0.0
scooter-black,0.8811758756637573,21.669658660888672,0.0645875483751297
shooting,0.9996447563171387,72.05962371826172,0.0005667940713465214
soapbox,0.9822288751602173,36.96194839477539,0.012089752592146397
