,SSIM,PSNR
Airplane_Evening_landing,0.9903529286384583,34.198577880859375
biking,0.9246160387992859,23.962417602539062
bottles,0.9998109340667725,75.8805160522461
children,0.9797912836074829,30.010934829711914
chuva,0.9987580180168152,62.3839225769043
city_raining,0.8879184722900391,18.452735900878906
cokking_vegetables,1.0,80.0
couting_money,1.0,80.0
Earth_Zoom_In,0.9777793288230896,35.265628814697266
foots_xmas,0.9859455227851868,33.3404541015625
hello,1.0,80.0
keyborad_tecling,1.0,80.0
lions,1.0,80.0
London_Buses,0.9689586162567139,27.732677459716797
metro,0.999933123588562,78.60237121582031
Monarch,0.9256925582885742,16.61652374267578
Red_fody_bird_singing,0.8448557257652283,17.12336540222168
reuniao,0.9998629093170166,77.29592895507812
Running_09_Videvo,0.8182296752929688,15.579700469970703
sharks,1.0,80.0
studying,0.9975089430809021,41.762325286865234
sunflower,0.8761157393455505,11.266690254211426
sunset,0.9893147349357605,30.8345890045166
Trafic_Jakarta,0.9828982949256897,32.36630630493164
Trafic_Jakarta_Day,1.0,80.0
train,0.9940409660339355,44.14951705932617
US Soldies,0.986693263053894,35.824432373046875
vale,0.9991438388824463,63.77809524536133
walking,0.9231160283088684,14.9459810256958
woman,0.9459714293479919,18.41486167907715
woman_credict_card,0.9375770688056946,19.91156768798828
workut,0.954277753829956,24.88616943359375
xmas,0.9036956429481506,22.548322677612305
xmas_tree,0.9704540371894836,25.899192810058594
